scrape_date,departure_from,destination,travel_date,airline_name,stoppage,booking_before_days,duration_mins,ticket_price_bdt
01/30/25,DAC,JFK,02/01/25,"Biman, Cathay Pacific",2,2,1765,155764
01/30/25,DAC,JFK,02/01/25,"IndiGo, Turkish Airlines",2,2,2205,195170
01/30/25,DAC,JFK,02/01/25,Emirates,1,2,1435,298930
01/30/25,DAC,JFK,02/02/25,"Biman, Air Canada",2,3,1947,166526
01/30/25,DAC,JFK,02/02/25,"Biman, Etihad",2,3,1995,173291
01/30/25,DAC,JFK,02/02/25,"Biman, Cathay Pacific",2,3,1780,187609
01/30/25,DAC,JFK,02/02/25,Emirates,1,3,1435,250338
01/30/25,DAC,JFK,02/03/25,"Biman, Cathay Pacific",2,4,1780,177002
01/30/25,DAC,JFK,02/03/25,"Biman, Etihad",2,4,1590,177584
01/30/25,DAC,JFK,02/03/25,Ethiopian,2,4,1615,219998
01/30/25,DAC,JFK,02/04/25,"Biman, Etihad",2,5,1995,176070
01/30/25,DAC,JFK,02/04/25,Cathay Pacific,1,5,1325,194749
01/30/25,DAC,JFK,02/04/25,"IndiGo, Turkish Airlines",2,5,2205,199569
01/30/25,DAC,JFK,02/04/25,"Biman, Cathay Pacific",2,5,1765,202127
01/30/25,DAC,JFK,02/04/25,Saudia,1,5,1840,249152
01/30/25,DAC,JFK,02/05/25,"Biman, Cathay Pacific",2,6,1765,155764
01/30/25,DAC,JFK,02/05/25,"Biman, Etihad",2,6,1590,177584
01/30/25,DAC,JFK,02/05/25,Cathay Pacific,1,6,1325,184741
01/30/25,DAC,JFK,02/06/25,"Biman, Cathay Pacific",2,7,1765,155764
01/30/25,DAC,JFK,02/06/25,"Biman, Etihad",2,7,1910,174284
01/30/25,DAC,JFK,02/06/25,Saudia,1,7,1840,213158
01/30/25,DAC,JFK,02/06/25,Qatar Airways,1,7,1365,230288
01/30/25,DAC,JFK,02/07/25,"Biman, Etihad",2,8,1590,176778
01/30/25,DAC,JFK,02/07/25,Cathay Pacific,1,8,1325,185511
01/30/25,DAC,JFK,02/07/25,"Biman, Cathay Pacific",2,8,1765,187609
