scrape_date,departure_from,destination,travel_date,airline_name,duration,stoppage,ticket_price_BDT
2025-01-30,DAC,JFK,2025-02-01,"Biman, Cathay Pacific",29 hr 25 min,2 stops,155764
2025-01-30,DAC,JFK,2025-02-01,"IndiGo, Turkish Airlines",36 hr 45 min,2 stops,195170
2025-01-30,DAC,JFK,2025-02-01,Emirates,23 hr 55 min,1 stop,298930
2025-01-30,DAC,JFK,2025-02-02,"Biman, Air Canada",32 hr 27 min,2 stops,166526
2025-01-30,DAC,JFK,2025-02-02,"Biman, Etihad",33 hr 15 min,2 stops,173291
2025-01-30,DAC,JFK,2025-02-02,"Biman, Cathay Pacific",29 hr 40 min,2 stops,187609
2025-01-30,DAC,JFK,2025-02-02,Emirates,23 hr 55 min,1 stop,250338
2025-01-30,DAC,JFK,2025-02-03,"Biman, Cathay Pacific",29 hr 40 min,2 stops,177002
2025-01-30,DAC,JFK,2025-02-03,"Biman, Etihad",26 hr 30 min,2 stops,177584
2025-01-30,DAC,JFK,2025-02-03,Ethiopian,26 hr 55 min,2 stops,219998
2025-01-30,DAC,JFK,2025-02-04,"Biman, Etihad",33 hr 15 min,2 stops,176070
2025-01-30,DAC,JFK,2025-02-04,Cathay Pacific,22 hr 5 min,1 stop,194749
2025-01-30,DAC,JFK,2025-02-04,"IndiGo, Turkish Airlines",36 hr 45 min,2 stops,199569
2025-01-30,DAC,JFK,2025-02-04,"Biman, Cathay Pacific",29 hr 25 min,2 stops,202127
2025-01-30,DAC,JFK,2025-02-04,Saudia,30 hr 40 min,1 stop,249152
2025-01-30,DAC,JFK,2025-02-05,"Biman, Cathay Pacific",29 hr 25 min,2 stops,155764
2025-01-30,DAC,JFK,2025-02-05,"Biman, Etihad",26 hr 30 min,2 stops,177584
2025-01-30,DAC,JFK,2025-02-05,Cathay Pacific,22 hr 5 min,1 stop,184741
2025-01-30,DAC,JFK,2025-02-06,"Biman, Cathay Pacific",29 hr 25 min,2 stops,155764
2025-01-30,DAC,JFK,2025-02-06,"Biman, Etihad",31 hr 50 min,2 stops,174284
2025-01-30,DAC,JFK,2025-02-06,Saudia,30 hr 40 min,1 stop,213158
2025-01-30,DAC,JFK,2025-02-06,Qatar Airways,22 hr 45 min,1 stop,230288
2025-01-30,DAC,JFK,2025-02-07,"Biman, Etihad",26 hr 30 min,2 stops,176778
2025-01-30,DAC,JFK,2025-02-07,Cathay Pacific,22 hr 5 min,1 stop,185511
2025-01-30,DAC,JFK,2025-02-07,"Biman, Cathay Pacific",29 hr 25 min,2 stops,187609
2025-01-30,DAC,JFK,2025-02-08,"Biman, Cathay Pacific",29 hr 25 min,2 stops,155764
2025-01-30,DAC,JFK,2025-02-08,"Biman, Etihad",33 hr 15 min,2 stops,173291
2025-01-30,DAC,JFK,2025-02-08,"IndiGo, Turkish Airlines",36 hr 45 min,2 stops,197511
2025-01-30,DAC,JFK,2025-02-08,Saudia,30 hr 40 min,1 stop,243153
2025-01-30,DAC,JFK,2025-02-08,Qatar Airways,22 hr 45 min,1 stop,282719
2025-01-30,DAC,JFK,2025-02-09,"Biman, Air Canada",32 hr 27 min,2 stops,173943
2025-01-30,DAC,JFK,2025-02-09,"Biman, Cathay Pacific",29 hr 40 min,2 stops,187608
2025-01-30,DAC,JFK,2025-02-09,Cathay Pacific,22 hr 5 min,1 stop,216585
2025-01-30,DAC,JFK,2025-02-09,Qatar Airways,22 hr 45 min,1 stop,241926
2025-01-30,DAC,JFK,2025-02-10,"Biman, Cathay Pacific",29 hr 40 min,2 stops,188279
2025-01-30,DAC,JFK,2025-02-10,Ethiopian,26 hr 55 min,2 stops,219998
2025-01-30,DAC,JFK,2025-02-10,Qatar Airways,22 hr 45 min,1 stop,272761
2025-01-30,DAC,JFK,2025-02-11,Cathay Pacific,22 hr 5 min,1 stop,231103
2025-01-30,DAC,JFK,2025-02-11,Qatar Airways,22 hr 45 min,1 stop,250925
2025-01-30,DAC,JFK,2025-02-12,"Biman, Cathay Pacific",29 hr 25 min,2 stops,155764
2025-01-30,DAC,JFK,2025-02-12,Cathay Pacific,22 hr 5 min,1 stop,159666
2025-01-30,DAC,JFK,2025-02-12,"Biman, Etihad",26 hr 30 min,2 stops,167292
2025-01-30,DAC,JFK,2025-02-13,"Biman, Cathay Pacific",29 hr 25 min,2 stops,155764
